datetime,language,question,answer,sources
2026-06-08 14:42:33,uz,Xodimni qanday qo'shish kerak,"Hozirgi bilimlar bazasida xodimni qanday qo'shish bo'yicha aniq ko'rsatma mavjud emas. **Nima qilish mumkin:** Ma'lumotlar bazasida ""Sotrudniki"" (Xodimlar) bo'limi mavjud, ammo xodim qo'shish uchun batafsil qadamlar keltirilmagan. Agar sizga ushbu masala bo'yicha yordam kerak bo'lsa, Faktura.uz qo'llab-quvvatlash xizmati bilan bog'lanishingiz mumkin. **Manba:** ""Sotrudniki – WIKI FAKTURA.pdf"" faylida xodimlar haqida umumiy ma'lumotlar bor, ammo qo'shish jarayoni batafsil yoritilmagan. Qo'llab-quvvatlash xizmati telefon raqami: +998 71 200 00 13.",Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf; Подразделения – WIKI FAKTURA.pdf; Гибридная почта – WIKI FAKTURA.pdf; Акт-сверки(Роуминг) – WIKI FAKTURA.pdf; Сотрудники – WIKI FAKTURA.pdf
2026-06-08 14:44:52,en,How to send document to counteragent,"To send a document to a counteragent, you generally follow these steps: **Brief Answer:** You can send documents to a counteragent after they are ready and signed, or by using the Hybrid Mail service. **What you can check:** * **For documents like Invoices or Contracts:** 1. Once your document (e.g., an invoice or contract) is ready and open, you will have the option to view it. 2. You can then sign the document using your EDS (Electronic Digital Signature) key. 3. After signing, you can send the document to the buyer/recipient. * **For sending documents via Hybrid Mail:** 1. Attach the document file (doc, docx, xls, xlsx, pdf, txt) that you need to send. 2. Specify the recipient's details, including their Full Name/Organization, Address, Region, and District. 3. Click the ""Save and send"" button to complete the process and send the document. **Source / Basis from the database:** * Source 1: ""Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf"" * Source 2: ""Гибридная почта – WIKI FAKTURA.pdf"" * Source 4: ""Договор(Роуминг) – WIKI FAKTURA.pdf""",Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Гибридная почта – WIKI FAKTURA.pdf; Подразделения – WIKI FAKTURA.pdf; Договор(Роуминг) – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-08 14:54:41,ru,как создать сравнительный акт,"Краткий ответ: Для создания сравнительного акта (акта сверки) в системе Faktura.uz необходимо использовать вкладку ""Рабочий стол"" или раздел ""Документы"". Что можно проверить: 1. **Создание документа:** * Перейдите во вкладку ""Рабочий стол"". * Или через боковое меню системы откройте раздел ""Документы"" и выберите ""Создать документ"". 2. **Заполнение полей в редакторе акта сверки:** * Укажите номер и дату акта сверки. * Введите ИНН/ПИНФЛ партнера (название организации и ФИО директора заполнятся автоматически). * В разделе ""Описание"" название организации и ФИО директора также будут заполнены автоматически. * Заполните таблицу акта сверки, которая делится на два раздела: ""По данным Организации отправителя, сум"" и ""По данным Организации получателя, сум"". * Поля ""Итого по договору"", ""Сальдо конечное по договору"", ""Обороты за период"" и ""Сальдо конечное"" заполняются автоматически на основе введенных данных. Если требуется ручной ввод, нажмите кнопку ""Ручное вычисление"". * Для добавления новой строки в таблицу используйте кнопку «Добавить новую строку», для удаления — кнопку «Х» в нужной строке. Источник / основание из базы: SOURCE 1, SOURCE 2, SOURCE 5 (Акт-сверки(Роуминг) – WIKI FAKTURA.pdf)",Акт-сверки(Роуминг) – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-08 15:04:52,uz,Hisobga kirishda raqamli imzoni tanlash imkoniyati ko'rinmaydi.,"Faktura.uz ma'lumotlar bazasida tizimga kirishda raqamli imzo (ЭЦП) tanlash imkoniyati ko'rinmayotgani bo'yicha aniq ko'rsatma mavjud emas. Shu sababli, ushbu holatda nimalarni tekshirish yoki qanday harakat qilish bo'yicha amaliy tavsiyalar bera olmayman, chunki buning uchun kerakli ma'lumotlar bazamizda topilmadi.",Акт-сверки(Роуминг) – WIKI FAKTURA.pdf; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf; Товарно-транспортная накладная – WIKI FAKTURA.pdf; Оповещение – WIKI FAKTURA.pdf
2026-06-08 15:10:16,ru,как отправить счет фактуру контрагенту,"Чтобы отправить счет-фактуру контрагенту: **Краткий ответ:** После того как счет-фактура создан и готов, его можно подписать электронной цифровой подписью (ЭЦП) и отправить покупателю. **Что можно проверить:** 1. Убедитесь, что счет-фактура готов и открыт в окне просмотра. 2. Найдите опцию для подписания документа ЭЦП ключом. 3. После подписания, используйте соответствующую кнопку для отправки документа покупателю. **Источник / основание из базы:** SOURCE 3: ""В этом окне [с готовым документом], вы можете просмотреть документ, отправить на Согласование, подписать (ЭЦП ключом) и отправить документ покупателю.""",Акт-сверки(Роуминг) – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf; Подразделения – WIKI FAKTURA.pdf
2026-06-08 15:11:32,ru,Как создать счет-фактуру,"AI-модель временно недоступна из-за высокой нагрузки. Пожалуйста, попробуйте повторить запрос позже.",Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf; Акт-сверки(Роуминг) – WIKI FAKTURA.pdf
2026-06-08 15:24:21,ru,не могу добавить номер для рассылки?,"К сожалению, в предоставленных инструкциях нет подробной информации о том, как добавить отдельный номер телефона для массовой рассылки. **Что можно проверить на основе доступной информации:** * Система Faktura.uz поддерживает массовую рассылку в виде SMS-сообщений. * При формировании рассылки предлагается выбрать тип импорта контрагентов, например, ""Моим контрагентам"". Это означает, что рассылка может быть отправлена контактам, которые уже есть в вашей базе. **Если в базе нет точной инструкции:** В базе знаний отсутствует точная инструкция по добавлению нового, индивидуального номера телефона, который не является вашим контрагентом, непосредственно для рассылки. **Источник / основание из базы:** * Массовая рассылка – WIKI FAKTURA.pdf (Source 1)",Массовая рассылка – WIKI FAKTURA.pdf; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Доверенность(Роуминг) – WIKI FAKTURA.pdf
2026-06-08 16:27:05,uz,k,"AI model hozircha yuqori yuklama sababli vaqtincha mavjud emas. Iltimos, birozdan keyin qayta urinib ko‘ring.",Оповещение – WIKI FAKTURA.pdf; Гибридная почта – WIKI FAKTURA.pdf; Маршрутизация документов – WIKI FAKTURA.pdf; Массовая рассылка – WIKI FAKTURA.pdf
2026-06-08 16:27:52,uz,как создать ТТН,"TTN (Tovarno-transportnaya nakladnaya) yaratish uchun quyidagi amallarni bajaring: **Qisqa javob:** Faktura.uz tizimida TTN yaratish uchun bosh sahifadagi ""TTN"" tugmasini bosing yoki yon menyudagi ""Hujjatlar"" bo'limini ochib, so'ng ""Hujjat yaratish""ni tanlang va ro'yxatdan TTNni tanlang. **Nima qilish mumkin:** 1. **Kirish:** Tizimning bosh sahifasida ""TTN"" tugmasini bosing. Yoki yon menyudagi ""Hujjatlar"" bo'limini oching, so'ng ""Hujjat yaratish"" tugmasini bosing va ro'yxatdan ""TTN""ni tanlang. 2. **Shablonni tanlash:** ""TTN shabloni (yangi)""ni tanlang. Shablonni tanlagandan so'ng, TTN yaratish uchun redaktor ochiladi. 3. **Maydonlarni to'ldirish:** Redaktorda quyidagi maydonlarni to'ldirish kerak: * Tovarno-transportnaya nakladnayaning raqami va sanasi; * Shartnoma raqami va sanasi; * Tashish turini tanlash: * Ombordan omborga: bitta tashkilotning omborlari orasida tovarlarni tashish. * Sotuvchidan xaridorga: sotuvchidan xaridorga tovarlarni tashish. * Qayta ishlash / saqlash: keyinchalik qayta ishlash yoki vaqtincha saqlash uchun korxonaga tovarlarni tashish. * Yuk qabul qiluvchining INNini ko'rsating; * Ekspeditorni tanlang. 4. **Saqlash:** Ma'lumotlarni saqlash va TTNni yaratish uchun o'ng pastki burchakdagi ""Saqlash"" tugmasini bosing. **Manba / asos:** * SOURCE 1: Товарно-транспортная накладная – WIKI FAKTURA.pdf (1-sahifa) * SOURCE 2: Товарно-транспортная накладная – WIKI FAKTURA.pdf (2-sahifa) * SOURCE 3: Товарно-транспортная накладная – WIKI FAKTURA.pdf (6-sahifa)",Товарно-транспортная накладная – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Оповещение – WIKI FAKTURA.pdf
2026-06-08 16:30:23,en,как создатьТТН,"To create a Waybill (ТТН) in Faktura.uz, follow these steps: **Brief Answer:** You can create a Waybill by navigating to the ""TTN"" button on the main page or through the ""Documents"" section, then filling out the required fields in the editor. **What you can check:** 1. **Start Creation:** * On the system's main page, click the ""ТТН"" button. * Alternatively, open the ""Documents"" section in the side menu, then select ""Create document"" and choose ""ТТН"" from the list. 2. **Select Template:** * Choose the ""ТТН (new)"" template. 3. **Fill in Details:** * In the Waybill editor, you need to fill in the following fields: * Waybill number and date. * Contract number and date. * Type of transportation (e.g., ""From warehouse to warehouse"", ""From seller to buyer"", ""Processing / storage""). * Consignee's TIN (ИНН Грузополучателя). * Freight Forwarder (Экспедитор). 4. **Save:** * To save the data and create the Waybill, click the ""Save"" button in the lower right corner. **Source / Basis:** * SOURCE 2, Page 1, ""На главной странице системы нажмите на кнопку « ТТН » или откройте раздел « Документы » в боковом меню системы затем « Создать документ » и выберите из списка ТТН ."" * SOURCE 2, Page 2, ""Выберите шаблон ТТН ( новая )."" * SOURCE 1, Page 2, ""В редакторе ТТН необходимо заполнить следующие поля: 1. Номер и дату товарно - транспортной накладной; 2. Номер и дату договора; 3. Выбор типа перевозки; 4. Укажите ИНН Грузополучателя; 5. Выбор Экспедитора."" * SOURCE 3, Page 6, ""Для сохранения данных и создания ТТН нажмите на кнопку « Сохранить » в правом нижнем углу .""",Товарно-транспортная накладная – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Оповещение – WIKI FAKTURA.pdf
2026-06-08 16:37:33,ru,как создать ТТН,"AI-модель временно недоступна из-за высокой нагрузки. Пожалуйста, попробуйте повторить запрос позже.",Товарно-транспортная накладная – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Оповещение – WIKI FAKTURA.pdf
2026-06-08 16:47:04,uz,🇬🇧 English,"AI model hozircha yuqori yuklama sababli vaqtincha mavjud emas. Iltimos, birozdan keyin qayta urinib ko‘ring.",Подразделения – WIKI FAKTURA.pdf; Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf; Сотрудники – WIKI FAKTURA.pdf; Односторонний электронный счет-фактура – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-08 17:18:31,ru,https://t.me/fakturauz,"Это ссылка на официальный Telegram-канал Faktura.uz. Что можно проверить: Это одна из социальных сетей Faktura.uz, где обычно публикуются новости, обновления или предоставляется поддержка. Источник / основание из базы: Данная ссылка указана в разделе ""Социальные сети"" в нескольких документах базы знаний Faktura.uz, например, в ""Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf"" и ""Филиалы – WIKI FAKTURA.pdf"".",Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf; Односторонний электронный счет-фактура – WIKI FAKTURA.pdf; Подразделения – WIKI FAKTURA.pdf; Филиалы – WIKI FAKTURA.pdf; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf
2026-06-09 10:14:59,ru,Проверь ИНН 489043363,Error in generating answer: argument of type 'bool' is not iterable,Faktura API: CheckCompanyExist
2026-06-09 13:29:54,ru,Какие типы документов есть в Faktura?,Error in generating answer: argument of type 'bool' is not iterable,Faktura API: GetDocumentTypes
2026-06-09 13:40:03,ru,Как создать ТТН,"AI-модель временно недоступна из-за высокой нагрузки. Пожалуйста, попробуйте повторить запрос позже.",Товарно-транспортная накладная – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Оповещение – WIKI FAKTURA.pdf
2026-06-09 13:41:29,ru,как создать ТТН,"AI-модель временно недоступна из-за высокой нагрузки. Пожалуйста, попробуйте повторить запрос позже.",Товарно-транспортная накладная – WIKI FAKTURA.pdf; Счет-фактура (ПКМ № 489) – WIKI FAKTURA.pdf; Оповещение – WIKI FAKTURA.pdf
2026-06-09 13:44:25,ru,как войти в аккаунт,"Чтобы войти в аккаунт Faktura.uz, выполните следующие шаги: **Как войти:** 1. Откройте веб-браузер и перейдите на сайт https://faktura.uz. 2. На главной странице нажмите кнопку «Войти» (расположена в правом верхнем углу). **Что можно проверить, если возникли проблемы со входом:** Если не получается войти, проверьте следующее: * **Данные для входа:** Убедитесь, что правильно ввели номер телефона или адрес электронной почты, а также пароль. * **ЭЦП (если используется):** Если вход связан с ЭЦП, проверьте, что сертификат ЭЦП доступен на вашем компьютере и корректно работает через e-imzo. * **Статус сотрудника:** Если вы являетесь сотрудником, уточните, был ли ваш аккаунт добавлен администратором и активировали ли вы приглашение. **Что делать, если забыли пароль:** Если вышеперечисленные шаги не помогли, и вы подозреваете, что забыли пароль, вы можете его сбросить: 1. На странице входа в систему найдите ссылку «Забыли пароль?» или аналогичную. Нажмите на нее. 2. Вам будет предложено ввести адрес электронной почты, связанный с вашим аккаунтом. Введите его и отправьте запрос. 3. Проверьте указанный адрес электронной почты. На него придет письмо с инструкциями по восстановлению пароля. Следуйте этим инструкциям. 4. После перехода по ссылке из письма вы сможете создать новый пароль для вашего аккаунта. Если доступ восстановить не удалось, обратитесь в поддержку Faktura.uz по телефону +998 71 200 00 13. **Источник / основание:** * approved_case:manual_login_001 * Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf",approved_case:manual_login_001; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-09 13:44:52,ru,как создать счет-фактуру,"Для создания счет-фактуры в системе Faktura.uz выполните следующие шаги: **Краткий ответ** Создать счет-фактуру можно через вкладку ""Рабочий стол"" или через боковое меню системы, выбрав раздел ""Документы"" и соответствующий шаблон. После этого необходимо заполнить все обязательные поля, включая данные о покупателе, товарах/услугах, ответственных лицах, и сохранить документ. **Что можно проверить** 1. **Начало создания:** * Перейдите во вкладку **""Рабочий стол""** или * Откройте раздел **""Документы""** в боковом меню системы, затем выберите **""Создать документ""**. * После нажатия на кнопку **""Счет-фактура""**, выберите необходимый шаблон, например, **""Счет-фактура ФАРМ (ПКМ № 489)""**. 2. **Заполнение основных данных:** * Укажите **номер и дату счета-фактуры**, а также **данные договора**. * По умолчанию тип счета-фактуры установлен как ""Стандартный"". Чтобы выбрать другой тип, нажмите на установленный по умолчанию вариант, после чего откроется список доступных типов. 3. **Реквизиты покупателя:** * В поле **""ИНН / ПИНФЛ покупателя""** введите ИНН или название организации. Остальные данные система заполнит автоматически. 4. **Заполнение табличной части:** * В поле **""ИКПУ и наименование товаров (работ, услуг)""** выберите необходимый идентификационный код товара (услуги). Если нужный код не отобразился, перейдите в раздел **""Настройки""**, затем в **""ИКПУ коды""** и добавьте его. * Заполните поле **""Описание товаров (работ, услуг)""**. * Выберите **единицу измерения товара (услуги)**. * Выберите **происхождение товара** из списка (собственное производство, перепродажа, услуга, не участвую). Автоматический выбор происхождения можно настроить во вкладке **""Настройки""**. * Чтобы добавить дополнительную строку в таблицу, нажмите на значок **«+»** или на кнопку **«Добавить ещё»**. 5. **Указание ответственных лиц:** * После заполнения табличной части необходимо указать **руководителя и главного бухгалтера** организации. Их можно выбрать из списка добавленных сотрудников или ввести Ф. И. О. вручную. Автоматическое заполнение этих полей можно настроить в разделе **«Настройки»**, затем в **«Реестры»**. 6. **Сохранение документа:** * Для сохранения данных и создания счета-фактуры нажмите на кнопку **«Создать документ»** в правом нижнем углу. * Кнопка **«Просмотр»**, расположенная рядом, позволяет увидеть, как будет выглядеть ваш документ после создания. **Источник / основание из базы:** SOURCE 1, SOURCE 2, SOURCE 3, SOURCE 5.",Счет-фактура акциз (ПКМ № 489) – WIKI FAKTURA.pdf; Счет-фактура ФАРМ(ПКМ № 489) – WIKI FAKTURA.pdf; Акт-сверки(Роуминг) – WIKI FAKTURA.pdf
2026-06-09 13:47:26,ru,как создать акт сверки,"Для создания акта сверки в системе Faktura.uz, следуйте этим шагам: **Краткий ответ:** Акт сверки можно создать через ""Рабочий стол"" или боковое меню в разделе ""Документы"", выбрав ""Создать документ"". После этого откроется редактор, где нужно будет заполнить обязательные поля и данные таблицы. **Что можно проверить:** 1. **Начало создания:** Перейдите на вкладку ""Рабочий стол"" или откройте боковое меню системы. 2. **Раздел документов:** Выберите раздел ""Документы"", а затем пункт ""Создать документ"". 3. **Заполнение полей:** В открывшемся редакторе акта сверки необходимо заполнить: * Номер и дату акта сверки. * ИНН / ПИНФЛ партнера (название организации и ФИО директора заполнятся автоматически). * В разделе ""Описание"" название организации и ФИО директора также заполнятся автоматически. 4. **Таблица акта сверки:** Таблица разделена на две части: ""По данным Организации отправителя, сум"" и ""По данным Организации получателя, сум"". * Поля ""Итого по договору"", ""Сальдо конечное по договору"", ""Обороты за период"" и ""Сальдо конечное"" заполняются автоматически. При необходимости ручного ввода нажмите кнопку ""Ручное вычисление"". * Чтобы добавить новую строку, нажмите кнопку «Добавить новую строку». Для удаления строки используйте кнопку « » в нужной строке. 5. **Несколько договоров:** Если акт сверки по нескольким договорам, вы можете добавить отдельную таблицу для каждого договора, нажав кнопку «Добавить новую таблицу». 6. **Сохранение:** После заполнения всех данных, нажмите кнопку ""Сохранить"" в правом нижнем углу экрана. **Источник / основание из базы:** * SOURCE 1, 4 (как создать акт сверки, поля для заполнения) * SOURCE 2 (разделы таблицы, ручное вычисление, добавление/удаление строк) * SOURCE 5 (добавление таблицы для нескольких договоров, сохранение документа)",Акт-сверки(Роуминг) – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-09 14:19:18,ru,как создать гибридную почту,"Чтобы создать гибридную почту, выполните следующие шаги: **Краткий ответ** 1. Перейдите в раздел ""Документы"" и выберите ""Гибридная почта"". 2. Нажмите ""Создать гибридную почту"". 3. Заполните поля ""Получатель"", ""Адрес получателя"" и прикрепите документ. **Что можно проверить** * Убедитесь, что вы находитесь в боковом меню системы. * Проверьте, что вы заполнили все необходимые поля: ФИО/Организация получателя, адрес получателя и прикрепили нужный файл. **Источник / основание из базы** * SOURCE 1: Гибридная почта – WIKI FAKTURA.pdf, раздел ""Создание гибридной почты"".",Гибридная почта – WIKI FAKTURA.pdf; Массовая рассылка – WIKI FAKTURA.pdf
2026-06-09 14:19:56,ru,как создать транспортную накладную,"Чтобы создать товарно-транспортную накладную (ТТН), следуйте этим шагам: **Краткий ответ:** Создание ТТН включает заполнение данных о транспорте, адресах погрузки и доставки, информации о водителе и ответственном лице, а также сведений о перевозимом грузе. **Что можно проверить:** 1. **Данные транспорта:** * В разделе ""Данные транспорта"" выберите тип ""Грузоперевозка"". * Если автомобиль в лизинге, введите ИНН или ПИНФЛ владельца в строке ""Другие владельцы автомобилей"" для автоматического отображения сведений о транспорте. * Укажите государственный номер и модель автомобиля. 2. **Участники перевозки (если применимо):** * Укажите ИНН Грузополучателя. * Выберите Экспедитора (необязательно). * Выберите Грузоперевозчика. * Выберите Клиента (необязательно). * Выберите Заказчика (необязательно). * Укажите ИНН/ПИНФЛ ""Водителя"" и ""Ответственного лица, доставляющего груз"". 3. **Адреса:** * Выберите область и район, затем заполните поля ""Улица"" и ""Дом"" для адресов погрузки и доставки. * Укажите данные долготы и широты. 4. **Сведения о грузе:** * Заполните табличную часть ТТН, выбирая ""ИКПУ и наименование товаров (работ, услуг)"". * Укажите ""Общее расстояние (км)"" и ""Цена за 1 км"". ""Общая цена"" рассчитается автоматически. * Если груз отправляется на несколько адресов, используйте кнопку ""Добавить груз"" для каждого дополнительного адреса и детализируйте информацию о грузе для каждого из них. 5. **Сохранение:** * Для сохранения данных и создания ТТН нажмите кнопку ""Сохранить"" в правом нижнем углу. **Источник / основание из базы:** * SOURCE 1, SOURCE 2, SOURCE 4, SOURCE 5 (Товарно-транспортная накладная – WIKI FAKTURA.pdf)",Товарно-транспортная накладная – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-09 14:22:11,ru,во время входа не появляется выбор ЭЦП,"Возможно, проблема связана с доступностью или работой вашего сертификата ЭЦП. **Что можно проверить:** 1. Убедитесь, что ваш сертификат ЭЦП доступен на компьютере. 2. Проверьте, корректно ли работает программа e-imzo, так как через нее происходит взаимодействие с ЭЦП. **Основание:** SOURCE 1 (manual\_login\_001)",approved_case:manual_login_001; Согласование документов – WIKI FAKTURA.pdf; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Выбор оператора электронного документооборота – WIKI FAKTURA.pdf
2026-06-09 16:44:08,ru,"Ошибка 'Sorry, no matching options' при выборе ЭЦП ключа на странице регистрации Faktura.uz. Что делать, если не найдены сертификаты ЭРИ?","AI-модель временно недоступна из-за высокой нагрузки. Пожалуйста, попробуйте повторить запрос позже.",approved_case:manual_login_001; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Доверенность(Роуминг) – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
2026-06-09 16:51:06,ru,Проблема с выбором ЭРИ ключа при регистрации на Faktura.uz. Не найдено ни одного сертификата при регистрации.,"Краткий ответ: Если при регистрации в системе Faktura.uz не найдено ни одного сертификата ЭЦП, это может быть связано с тем, что система не видит ваш ЭЦП-ключ на компьютере. Что можно проверить: 1. **Доступность ЭЦП:** Убедитесь, что ваш сертификат ЭЦП доступен на компьютере и корректно работает через программу e-imzo (для взаимодействия с ЭЦП). 2. **Повторите шаг регистрации:** Во время ""Шага 5: Выбор ЭЦП и установка пароля"" система должна предложить выбрать сертификат ЭЦП. Если вы не видите его, возможно, есть проблема с обнаружением ключа. Если в базе нет точной инструкции: В предоставленной базе знаний нет отдельной инструкции по устранению неполадок, если система не обнаруживает ЭЦП-ключи, кроме общего указания на их доступность и работу через e-imzo. Источник / основание из базы: * ""Шаг 5: Выбор ЭЦП и установка пароля... После подтверждения контактных данных система предложит выбрать сертификат электронной цифровой подписи (ЭЦП). Выберите нужный сертификат организации или физического лица с вашего компьютера."" (SOURCE 4) * ""Если вход связан с ЭЦП, убедитесь, что сертификат ЭЦП доступен на компьютере и корректно работает через e-imzo."" (SOURCE 2)",Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; approved_case:manual_login_001; Доверенность(Роуминг) – WIKI FAKTURA.pdf
2026-06-09 16:51:35,ru,Почему система не видит ключи ЭЦП при входе? Как решить проблему с отсутствием ЭЦП?,"Если система Faktura.uz не видит ключи ЭЦП при входе, это может быть связано с несколькими факторами, которые требуют проверки. **Что можно проверить:** 1. **Доступность ЭЦП на компьютере:** Убедитесь, что ваш сертификат ЭЦП доступен на компьютере, с которого вы пытаетесь войти в систему. 2. **Работа e-imzo:** Проверьте, корректно ли работает программа e-imzo на вашем компьютере. Система Faktura.uz взаимодействует с ЭЦП через e-imzo. 3. **Выбор сертификата:** Во время процесса регистрации или входа, система предлагает выбрать нужный сертификат ЭЦП с вашего компьютера. Важно, чтобы сертификат был распознан и выбран. 4. **Для сотрудников:** Если вы входите как сотрудник, убедитесь, что вы были добавлены администратором и активировали приглашение. **Если в базе нет точной инструкции:** В базе знаний нет пошаговой инструкции по устранению неполадок с программой e-imzo, если она не работает корректно. **Источник / основание из базы:** * approved_case:manual_login_001 * Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf",approved_case:manual_login_001; Согласование документов – WIKI FAKTURA.pdf; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Доверенность(Роуминг) – WIKI FAKTURA.pdf
2026-06-09 16:52:33,ru,Не отображается ключ ЭЦП при входе в систему Faktura.uz,"Краткий ответ: Если ключ ЭЦП не отображается при входе в систему Faktura.uz, это может быть связано с его доступностью или корректной работой на вашем компьютере. Что можно проверить: * Убедитесь, что сертификат ЭЦП доступен на вашем компьютере. * Проверьте, корректно ли работает ваш сертификат ЭЦП через программу e-imzo. * Убедитесь, что вы прошли регистрацию в системе Faktura.uz с использованием этого сертификата ЭЦП, так как для входа в личный кабинет необходимо иметь сертификат ЭЦП и быть зарегистрированным. Источник / основание из базы: * approved_case:manual_login_001 * Доверенность(Роуминг) – WIKI FAKTURA.pdf",approved_case:manual_login_001; Регистрация в системе Faktura.uz – WIKI FAKTURA.pdf; Доверенность(Роуминг) – WIKI FAKTURA.pdf; Согласование документов – WIKI FAKTURA.pdf
